exact_date,CO2_concentration,t,month
1972-01-17,1.2364869158619172,14.041666666666666,1
1972-02-17,2.028635705790407,14.125,2
1972-03-17,2.080784495718831,14.208333333333334,3
1972-04-17,3.9829332856473343,14.291666666666666,4
1972-05-17,4.265082075575776,14.375,5
1972-06-17,3.2172308655042343,14.458333333333334,6
1972-07-17,2.099379655432699,14.541666666666666,7
1972-08-17,0.311528445361148,14.625,8
1972-09-17,-1.236322764710394,14.708333333333334,9
1972-10-17,-0.9441739747819042,14.791666666666666,10
1972-11-17,0.2879748151465833,14.875,11
1972-12-17,1.270123605075014,14.958333333333334,12
1973-01-17,2.20227239500349,15.041666666666666,1
1973-02-17,3.144421184931957,15.125,2
1973-03-17,3.8165699748604425,15.208333333333334,3
1973-04-17,4.94871876478885,15.291666666666666,4
1973-05-17,5.860867554717345,15.375,5
1973-06-17,5.383016344645796,15.458333333333334,6
1973-07-17,4.1151651345742835,15.541666666666666,7
1973-08-17,2.4873139245027573,15.625,8
1973-09-17,0.6194627144311653,15.708333333333334,9
1973-10-17,0.22161150435965737,15.791666666666666,10
1973-11-17,1.1337602942881517,15.875,11
1973-12-17,1.5459090842165892,15.958333333333334,12
1974-01-17,2.1880578741451018,16.041666666666668,1
1974-02-17,3.480206664073478,16.125,2
1974-03-17,4.182355454001993,16.208333333333332,3
1974-04-17,5.284504243930428,16.291666666666668,4
1974-05-17,5.656653033858902,16.375,5
1974-06-17,4.748801823787346,16.458333333333332,6
1974-07-17,3.610950613715829,16.541666666666668,7
1974-08-17,1.7530994036442848,16.625,8
1974-09-17,-0.2747518064272185,16.708333333333332,9
1974-10-17,-0.40260301649874464,16.791666666666668,10
1974-11-17,0.6195457734296497,16.875,11
1974-12-17,1.6616945633581395,16.958333333333332,12
1975-01-17,2.4238433532865997,17.041666666666668,1
1975-02-17,3.355992143215076,17.125,2
1975-03-17,3.9281409331435384,17.208333333333332,3
1975-04-17,5.130289723071996,17.291666666666668,4
1975-05-17,5.7224385130004976,17.375,5
1975-06-17,5.284587302928969,17.458333333333332,6
1975-07-17,3.5167360928574,17.541666666666668,7
1975-08-17,1.6088848827858442,17.625,8
1975-09-17,0.041033672714320346,17.708333333333332,9
1975-10-17,-0.24681753735723078,17.791666666666668,10
1975-11-17,0.8353312525712795,17.875,11
1975-12-17,2.0374800424997375,17.958333333333332,12
1976-01-17,2.959628832428166,18.041666666666668,1
1976-02-17,3.7017776223566443,18.125,2
1976-03-17,4.573926412285118,18.208333333333332,3
1976-04-17,5.5860752022135785,18.291666666666668,4
1976-05-17,5.818223992142009,18.375,5
1976-06-17,5.200372782070474,18.458333333333332,6
1976-07-17,3.8525215719989774,18.541666666666668,7
1976-08-17,1.67467036192744,18.625,8
1976-09-17,-0.033180848144070296,18.708333333333332,9
1976-10-17,-0.4610320582156646,18.791666666666668,10
1976-11-17,0.8411167317128161,18.875,11
1976-12-17,2.143265521641297,18.958333333333332,12
1977-01-17,3.325414311569773,19.041666666666668,1
1977-02-17,3.7475631014982014,19.125,2
1977-03-17,4.95971189142665,19.208333333333332,3
1977-04-17,6.261860681355131,19.291666666666668,4
1977-05-17,6.874009471283614,19.375,5
1977-06-17,6.326158261212072,19.458333333333332,6
1977-07-17,4.908307051140525,19.541666666666668,7
1977-08-17,2.6704558410689856,19.625,8
1977-09-17,1.4426046309974367,19.708333333333332,9
1977-10-17,0.9447534209259629,19.791666666666668,10
1977-11-17,2.1169022108543913,19.875,11
1977-12-17,3.499051000782856,19.958333333333332,12
1978-01-17,4.551199790711337,20.041666666666668,1
1978-02-17,4.903348580639772,20.125,2
1978-03-17,6.085497370568248,20.208333333333332,3
1978-04-17,7.137646160496672,20.291666666666668,4
1978-05-17,7.319794950425148,20.375,5
1978-06-17,7.141943740353611,20.458333333333332,6
1978-07-17,5.71409253028213,20.541666666666668,7
1978-08-17,3.7862413202105927,20.625,8
1978-09-17,1.798390110138996,20.708333333333332,9
1978-10-17,1.5205389000674927,20.791666666666668,10
1978-11-17,2.8226876899959734,20.875,11
1978-12-17,3.7848364799244223,20.958333333333332,12
1979-01-17,4.996985269852871,21.041666666666668,1
1979-02-17,5.45913405978132,21.125,2
1979-03-17,6.591282849709785,21.208333333333332,3
1979-04-17,7.443431639638277,21.291666666666668,4
1979-05-17,7.965580429566785,21.375,5
1979-06-17,7.717729219495197,21.458333333333332,6
1979-07-17,6.089878009423671,21.541666666666668,7
1979-08-17,4.382026799352104,21.625,8
1979-09-17,2.1441755892806214,21.708333333333332,9
1979-10-17,2.0163243792090952,21.791666666666668,10
1979-11-17,3.3784731691375214,21.875,11
1979-12-17,4.750621959065995,21.958333333333332,12
1980-01-17,5.962770748994444,22.041666666666668,1
1980-02-17,6.244919538922943,22.125,2
1980-03-17,7.887068328851342,22.208333333333332,3
1980-04-17,8.509217118779816,22.291666666666668,4
1980-05-17,9.151365908708328,22.375,5
1980-06-17,8.783514698636793,22.458333333333332,6
1980-07-17,7.105663488565256,22.541666666666668,7
1980-08-17,5.077812278493695,22.625,8
1980-09-17,3.2899610684221443,22.708333333333332,9
1980-10-17,3.362109858350607,22.791666666666668,10
1980-11-17,4.374258648279124,22.875,11
1980-12-17,5.4164074382075,22.958333333333332,12
1981-01-17,6.378556228136006,23.041666666666668,1
1981-02-17,7.550705018064491,23.125,2
1981-03-17,8.382853807992944,23.208333333333332,3
1981-04-17,9.435002597921425,23.291666666666668,4
1981-05-17,9.77715138784987,23.375,5
1981-06-17,9.04930017777832,23.458333333333332,6
1981-07-17,7.221448967706806,23.541666666666668,7
1981-08-17,5.09359775763528,23.625,8
1981-09-17,3.285746547563747,23.708333333333332,9
1981-10-17,3.387895337492182,23.791666666666668,10
1981-11-17,4.820044127420658,23.875,11
1981-12-17,6.002192917349134,23.958333333333332,12
1982-01-17,7.074341707277597,24.041666666666668,1
1982-02-17,7.86649049720603,24.125,2
1982-03-17,8.888639287134481,24.208333333333332,3
1982-04-17,9.690788077062962,24.291666666666668,4
1982-05-17,10.192936866991431,24.375,5
1982-06-17,9.335085656919887,24.458333333333332,6
1982-07-17,7.9772344468483425,24.541666666666668,7
1982-08-17,5.659383236776819,24.625,8
1982-09-17,3.7615320267053107,24.708333333333332,9
1982-10-17,3.5736808166337823,24.791666666666668,10
1982-11-17,4.905829606562179,24.875,11
1982-12-17,6.067978396490673,24.958333333333332,12
1983-01-17,6.890127186419136,25.041666666666668,1
1983-02-17,7.962275976347598,25.125,2
1983-03-17,8.474424766276115,25.208333333333332,3
1983-04-17,10.24657355620451,25.291666666666668,4
1983-05-17,10.998722346132979,25.375,5
1983-06-17,10.490871136061457,25.458333333333332,6
1983-07-17,9.083019925989959,25.541666666666668,7
1983-08-17,7.415168715918412,25.625,8
1983-09-17,4.8373175058468405,25.708333333333332,9
1983-10-17,4.889466295775321,25.791666666666668,10
1983-11-17,5.9816150857037655,25.875,11
1983-12-17,7.7537638756322735,25.958333333333332,12
1984-01-17,8.395912665560672,26.041666666666668,1
1984-02-17,9.12806145548916,26.125,2
1984-03-17,9.840210245417609,26.208333333333332,3
1984-04-17,11.542359035346124,26.291666666666668,4
1984-05-17,11.854507825274538,26.375,5
1984-06-17,11.156656615203019,26.458333333333332,6
1984-07-17,9.67880540513147,26.541666666666668,7
1984-08-17,7.500954195059933,26.625,8
1984-09-17,5.223102984988429,26.708333333333332,9
1984-10-17,5.435251774916878,26.791666666666668,10
1984-11-17,6.99740056484535,26.875,11
1984-12-17,8.169549354773835,26.958333333333332,12
1985-01-17,8.851698144702311,27.041666666666668,1
1985-02-17,9.80384693463077,27.125,2
1985-03-17,11.165995724559195,27.208333333333332,3
1985-04-17,12.028144514487678,27.291666666666668,4
1985-05-17,12.540293304416139,27.375,5
1985-06-17,11.792442094344608,27.458333333333332,6
1985-07-17,10.03459088427303,27.541666666666668,7
1985-08-17,8.07673967420152,27.625,8
1985-09-17,6.428888464129955,27.708333333333332,9
1985-10-17,6.071037254058467,27.791666666666668,10
1985-11-17,7.443186043986941,27.875,11
1985-12-17,8.695334833915354,27.958333333333332,12
1986-01-17,9.367483623843839,28.041666666666668,1
1986-02-17,9.949632413772292,28.125,2
1986-03-17,10.781781203700803,28.208333333333332,3
1986-04-17,12.41392999362921,28.291666666666668,4
1986-05-17,13.006078783557655,28.375,5
1986-06-17,12.278227573486163,28.458333333333332,6
1986-07-17,10.600376363414625,28.541666666666668,7
1986-08-17,8.492525153343081,28.625,8
1986-09-17,7.374673943271546,28.708333333333332,9
1986-10-17,6.626822733200015,28.791666666666668,10
1986-11-17,8.0489715231285,28.875,11
1986-12-17,9.221120313056929,28.958333333333332,12
1987-01-17,10.27326910298541,29.041666666666668,1
1987-02-17,10.665417892913865,29.125,2
1987-03-17,11.537566682842339,29.208333333333332,3
1987-04-17,13.029715472770818,29.291666666666668,4
1987-05-17,13.831864262699298,29.375,5
1987-06-17,13.174013052627686,29.458333333333332,6
1987-07-17,11.356161842556162,29.541666666666668,7
1987-08-17,9.87831063248467,29.625,8
1987-09-17,8.160459422413112,29.708333333333332,9
1987-10-17,8.002608212341556,29.791666666666668,10
1987-11-17,9.384757002270021,29.875,11
1987-12-17,10.466905792198475,29.958333333333332,12
1988-01-17,11.869054582126978,30.041666666666668,1
1988-02-17,13.101203372055465,30.125,2
1988-03-17,13.523352161983894,30.208333333333332,3
1988-04-17,14.825500951912318,30.291666666666668,4
1988-05-17,15.387649741840846,30.375,5
1988-06-17,14.899798531769306,30.458333333333332,6
1988-07-17,13.411947321697767,30.541666666666668,7
1988-08-17,11.394096111626197,30.625,8
1988-09-17,9.626244901554685,30.708333333333332,9
1988-10-17,9.708393691483138,30.791666666666668,10
1988-11-17,10.830542481411612,30.875,11
1988-12-17,12.03269127134007,30.958333333333332,12
